City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ponta do sol,32.6667,-17.1,16.35,57,44,4.13,PT,1674157119
1,vila velha,-20.3297,-40.2925,27.97,82,40,5.14,BR,1674157119
2,wukari,7.85,9.7833,27.06,21,40,2.3,NG,1674156967
3,hermanus,-34.4187,19.2345,18.78,88,2,1.51,ZA,1674157119
4,san patricio,28.017,-97.5169,23.97,21,89,4.67,US,1674157120
5,hobart,-42.8794,147.3294,11.92,80,40,4.12,AU,1674157092
6,rikitea,-23.1203,-134.9692,25.32,71,99,0.66,PF,1674157120
7,mahibadhoo,3.7833,72.9667,26.89,70,1,8.62,MV,1674157121
8,clyde river,70.4692,-68.5914,-28.87,76,100,1.54,CA,1674157034
9,albany,42.6001,-73.9662,1.05,90,100,0.89,US,1674156952
10,busselton,-33.65,115.3333,19.45,56,79,6.13,AU,1674157121
11,natal,-5.795,-35.2094,28.36,74,40,6.17,BR,1674157117
12,alice springs,-23.7,133.8833,20.75,64,1,3.6,AU,1674157122
13,port-gentil,-0.7193,8.7815,25.98,89,75,3.6,GA,1674157122
14,lakatoro,-16.0999,167.4164,25.52,90,100,7.07,VU,1674156852
15,bluff,-46.6,168.3333,14.35,70,81,4.89,NZ,1674157122
16,mataura,-46.1927,168.8643,16.28,58,50,1.52,NZ,1674157123
17,tuktoyaktuk,69.4541,-133.0374,-19.0,84,100,7.2,CA,1674157123
18,olafsvik,64.8945,-23.7142,-1.35,74,100,7.34,IS,1674157123
19,jamestown,42.097,-79.2353,6.77,75,100,3.6,US,1674157041
20,sungaipenuh,-2.0833,101.3833,16.94,95,100,1.19,ID,1674157124
21,sinnamary,5.3833,-52.95,25.83,78,79,3.44,GF,1674157124
22,bowen,-20.0167,148.2333,22.5,91,3,3.18,AU,1674157124
23,puerto ayora,-0.7393,-90.3518,28.98,91,68,3.58,EC,1674156831
24,leningradskiy,69.3833,178.4167,-28.37,98,100,5.37,RU,1674157125
25,port alfred,-33.5906,26.891,20.66,95,94,1.34,ZA,1674157125
26,vaini,-21.2,-175.2,29.09,84,40,3.09,TO,1674157125
27,narsaq,60.9167,-46.05,-0.88,96,100,1.58,GL,1674157126
28,quatre cocos,-20.2078,57.7625,25.06,91,100,3.48,MU,1674157126
29,ribeira grande,38.5167,-28.7,15.43,72,75,4.92,PT,1674157126
30,ilulissat,69.2167,-51.1,-37.18,71,0,2.38,GL,1674157127
31,dudinka,69.4058,86.1778,-40.81,99,18,0.49,RU,1674157127
32,kapaa,22.0752,-159.319,23.18,89,100,3.09,US,1674156992
33,pontianak,-0.0333,109.3333,24.99,100,75,1.03,ID,1674157127
34,chandla,25.0833,80.2,10.4,48,10,1.22,IN,1674157128
35,new norfolk,-42.7826,147.0587,11.72,76,11,1.16,AU,1674157128
36,talnakh,69.4865,88.3972,-35.14,86,3,2.13,RU,1674157128
37,luganville,-15.5333,167.1667,24.5,94,100,2.6,VU,1674157096
38,ushuaia,-54.8,-68.3,13.81,58,40,1.03,AR,1674157071
39,jaru,-10.4389,-62.4664,28.2,71,100,1.62,BR,1674157129
40,cabo san lucas,22.8909,-109.9124,22.51,61,75,2.57,MX,1674157043
41,moba,33.2288,105.0179,-3.56,57,100,1.21,CN,1674157130
42,bodden town,19.2833,-81.25,29.0,63,40,6.69,KY,1674157130
43,victoria,22.2855,114.1577,17.92,66,55,4.47,HK,1674157130
44,kruisfontein,-34.0033,24.7314,22.16,90,0,3.23,ZA,1674157131
45,east london,-33.0153,27.9116,24.05,92,100,3.92,ZA,1674156942
46,butaritari,3.0707,172.7902,27.29,79,82,8.69,KI,1674157131
47,tual,-5.6667,132.75,28.4,76,100,7.94,ID,1674157131
48,letlhakane,-21.4167,25.5833,24.0,60,30,2.98,BW,1674157131
49,shimoda,34.6667,138.95,4.5,69,48,5.44,JP,1674157132
50,grindavik,63.8424,-22.4338,-1.74,74,100,6.69,IS,1674157041
51,naze,28.3667,129.4833,9.51,65,5,4.65,JP,1674157132
52,bambous virieux,-20.3428,57.7575,25.14,94,75,3.09,MU,1674157133
53,barrow,71.2906,-156.7887,-21.99,77,100,6.69,US,1674156972
54,maldonado,-34.6667,-54.9167,30.66,33,3,9.0,UY,1674157133
55,boyolangu,-8.1181,111.8935,24.41,88,100,1.23,ID,1674157133
56,yellowknife,62.456,-114.3525,-10.71,92,75,3.09,CA,1674157109
57,laguna,38.421,-121.4238,10.72,88,40,5.66,US,1674157051
58,nikolskoye,59.7035,30.7861,1.94,88,100,2.32,RU,1674157134
59,bredasdorp,-34.5322,20.0403,19.89,80,1,0.96,ZA,1674157134
60,charters towers,-20.1,146.2667,21.51,85,0,2.71,AU,1674157135
61,praya,14.9215,-23.5087,23.3,68,20,10.8,CV,1674157135
62,sao filipe,14.8961,-24.4956,23.67,68,51,6.54,CV,1674157135
63,kangaatsiaq,68.3065,-53.4641,-28.68,83,95,3.04,GL,1674157135
64,avarua,-21.2078,-159.775,27.03,83,40,7.72,CK,1674157060
65,tateyama,34.9833,139.8667,5.61,82,100,4.6,JP,1674157136
66,cape town,-33.9258,18.4232,22.83,67,0,6.17,ZA,1674157070
67,carnarvon,-24.8667,113.6333,23.94,79,0,3.52,AU,1674157136
68,hami,42.8,93.45,-9.0,50,5,1.37,CN,1674157137
69,gold coast,-28.0,153.4333,22.22,94,75,5.66,AU,1674156930
70,isangel,-19.55,169.2667,25.03,76,4,4.06,VU,1674156852
71,lavrentiya,65.5833,-171.0,-30.68,92,28,3.05,RU,1674157137
72,namibe,-15.1961,12.1522,23.33,79,100,4.01,AO,1674157137
73,kristiinankaupunki,62.2743,21.376,0.61,91,100,4.59,FI,1674157138
74,saint-philippe,-21.3585,55.7679,24.77,89,100,4.98,RE,1674157138
75,taguatinga,-12.3857,-46.5711,27.99,66,91,0.69,BR,1674157138
76,katsuura,35.1333,140.3,7.54,89,100,5.23,JP,1674157139
77,broken hill,-31.95,141.4333,14.48,39,1,4.16,AU,1674157139
78,sao joao da barra,-21.6403,-41.0511,28.05,83,71,5.74,BR,1674157139
79,tiarei,-17.5333,-149.3333,29.01,76,5,7.26,PF,1674157140
80,cidreira,-30.1811,-50.2056,24.66,82,74,6.16,BR,1674157140
81,abu dhabi,24.4667,54.3667,19.06,67,20,1.03,AE,1674156527
82,chernyshevskiy,63.0128,112.4714,-38.58,95,100,1.31,RU,1674157140
83,skibbereen,51.55,-9.2667,1.73,84,21,1.36,IE,1674157141
84,sabzevar,36.2126,57.6819,2.56,51,27,2.12,IR,1674157141
85,tabas,33.5959,56.9244,7.12,53,2,1.03,IR,1674157141
86,maltahohe,-24.8333,16.9833,25.09,47,52,5.53,NA,1674157142
87,aquiraz,-3.9014,-38.3911,28.58,74,58,3.21,BR,1674157143
88,saskylakh,71.9167,114.0833,-41.19,100,77,1.94,RU,1674157151
89,cherskiy,68.75,161.3,-37.34,98,100,0.81,RU,1674157151
90,faya,18.3851,42.4509,14.06,76,26,1.49,SA,1674157152
91,santa rosa,14.3122,121.1114,25.99,87,98,6.22,PH,1674157155
92,georgetown,5.4112,100.3354,26.96,81,20,1.54,MY,1674156981
93,eyl,7.9803,49.8164,23.57,75,14,9.99,SO,1674157157
94,thompson,55.7435,-97.8558,-14.91,85,40,1.54,CA,1674157158
95,shache,38.4167,77.2406,-16.21,96,97,1.83,CN,1674157158
96,matamoros,25.5333,-103.25,18.06,14,40,2.06,MX,1674157159
97,codrington,-38.2667,141.9667,14.49,67,100,4.21,AU,1674157160
98,rocha,-34.4833,-54.3333,28.91,38,0,7.94,UY,1674157160
99,ndjole,-0.1783,10.7649,24.09,96,95,1.28,GA,1674157161
100,hilo,19.7297,-155.09,25.34,81,100,3.09,US,1674156894
101,kargopol,61.5071,38.9456,1.67,85,100,6.3,RU,1674157162
102,hingatungan,10.584,125.1852,25.61,88,100,4.48,PH,1674157163
103,abalak,58.1286,68.5944,-12.41,98,89,2.38,RU,1674157163
104,zhaotong,27.3167,103.7167,-4.49,87,40,2.6,CN,1674157164
105,quang ngai,15.1167,108.8,19.35,87,97,3.27,VN,1674157165
106,severo-kurilsk,50.6789,156.125,-7.82,64,100,11.14,RU,1674157139
107,kodiak,57.79,-152.4072,2.73,93,100,5.14,US,1674157165
108,comandau,45.7667,26.2667,5.73,85,100,3.02,RO,1674157166
109,qaanaaq,77.484,-69.3632,-34.29,51,0,3.32,GL,1674157167
110,fortuna,40.5982,-124.1573,9.19,92,0,0.89,US,1674156951
111,ullapool,57.8987,-5.1604,4.64,85,85,3.63,GB,1674157110
112,gat,31.61,34.7642,16.89,13,0,2.3,IL,1674157024
113,collie,-33.3667,116.15,15.82,66,18,4.25,AU,1674157168
114,linxia,35.6003,103.2064,-11.29,82,66,0.83,CN,1674157169
115,mahebourg,-20.4081,57.7,25.16,94,75,3.09,MU,1674157169
116,castro,-24.7911,-50.0119,23.33,80,59,0.9,BR,1674157170
117,newcastle,-32.9272,151.7765,18.17,97,100,3.6,AU,1674156985
118,miri,4.4148,114.0089,23.08,100,40,0.0,MY,1674157170
119,bathsheba,13.2167,-59.5167,28.34,65,40,10.29,BB,1674157171
120,lorengau,-2.0226,147.2712,26.5,83,100,5.02,PG,1674157171
121,sept-iles,50.2001,-66.3821,-1.64,67,75,5.66,CA,1674157171
122,melfi,40.9965,15.6514,5.31,78,100,2.62,IT,1674157172
123,mar del plata,-38.0023,-57.5575,29.35,81,20,10.73,AR,1674157172
124,chicama,-7.8447,-79.1469,23.3,58,100,3.08,PE,1674157172
125,flin flon,54.7682,-101.865,-16.09,78,100,1.54,CA,1674157173
126,yulara,-25.2406,130.9889,24.07,25,100,5.7,AU,1674156950
127,shingu,33.7333,135.9833,3.58,77,2,3.08,JP,1674157173
128,najran,17.4924,44.1277,13.36,47,5,1.54,SA,1674157173
129,punta arenas,-53.15,-70.9167,18.01,59,100,3.18,CL,1674156758
130,norman wells,65.282,-126.8329,-20.98,84,75,1.54,CA,1674157174
131,rio gallegos,-51.6226,-69.2181,27.03,32,20,11.83,AR,1674157174
132,torbay,47.6666,-52.7314,3.65,92,100,8.23,CA,1674156941
133,karaman,37.0833,33.25,5.02,70,48,2.75,TR,1674157174
134,korfovskiy,48.2183,135.0564,-25.3,100,100,0.62,RU,1674157175
135,chihuahua,28.5,-106.0,9.46,15,100,2.52,MX,1674157114
136,spirit river,55.7833,-118.8361,-5.76,66,89,8.21,CA,1674157175
137,manica,49.0,-1.1667,-0.32,92,26,1.45,FR,1674157176
138,kurush,41.2841,47.8345,-7.5,38,0,0.18,RU,1674157176
139,pula,44.8683,13.8481,3.31,87,100,6.17,HR,1674157176
140,vanavara,60.34,102.2797,-40.96,93,52,3.42,RU,1674157176
141,ancud,-41.8697,-73.8203,18.61,68,100,4.11,CL,1674157058
142,praia da vitoria,38.7333,-27.0667,13.75,82,20,2.91,PT,1674157177
143,khatanga,71.9667,102.5,-40.4,94,10,2.4,RU,1674157177
144,soritor,-6.1392,-77.1039,19.78,99,100,0.16,PE,1674157178
145,ewa beach,21.3156,-158.0072,25.97,76,0,2.06,US,1674157123
146,san quintin,30.4833,-115.95,15.48,56,0,5.75,MX,1674157178
147,vao,-22.6667,167.4833,24.16,68,12,5.15,NC,1674157178
148,dubbo,-32.25,148.6167,15.07,82,6,4.12,AU,1674157179
149,bom jesus,-9.0744,-44.3586,23.95,84,100,0.31,BR,1674157179
150,kabinda,-6.1333,24.4833,20.2,89,100,0.43,CD,1674157179
151,zonguldak,41.25,31.8333,8.07,58,100,2.71,TR,1674157180
152,haines junction,60.7522,-137.5108,-11.33,99,98,0.37,CA,1674157180
153,novyy urengoy,66.0833,76.6333,-27.82,96,66,3.52,RU,1674157180
154,paramonga,-10.6667,-77.8333,23.34,70,69,4.32,PE,1674157180
155,tabou,4.423,-7.3528,27.14,80,45,4.06,CI,1674157181
156,srivardhan,18.0333,73.0167,21.07,55,7,1.77,IN,1674157181
157,lebu,-37.6167,-73.65,17.83,73,62,3.62,CL,1674157181
158,santa isabel,-23.3156,-46.2214,25.42,84,48,2.49,BR,1674157182
159,dikson,73.5069,80.5464,-33.77,95,8,1.89,RU,1674157182
160,rezekne,56.5,27.3167,-0.19,94,100,2.74,LV,1674157182
161,atasu,48.6814,71.6433,-20.0,74,4,2.58,KZ,1674157183
162,kloulklubed,7.0419,134.2556,24.28,77,77,8.21,PW,1674157183
163,bandarbeyla,9.4942,50.8122,24.52,72,35,10.44,SO,1674157183
164,burgos,42.3394,-3.7079,3.23,93,100,7.2,ES,1674157184
165,pundaguitan,6.3711,126.1689,26.74,81,96,5.96,PH,1674157184
166,cap malheureux,-19.9842,57.6142,25.26,89,100,2.24,MU,1674157184
167,dhana,23.75,78.85,11.62,33,21,2.4,IN,1674157185
168,kalmunai,7.4167,81.8167,25.24,58,86,5.7,LK,1674157185
169,bonthe,7.5264,-12.505,25.89,76,70,4.22,SL,1674157185
170,xudat,41.631,48.681,5.06,87,73,3.56,AZ,1674157186
171,chokurdakh,70.6333,147.9167,-36.19,99,50,2.8,RU,1674157186
172,flinders,-34.5833,150.8552,17.88,84,98,1.79,AU,1674157186
173,curup,-3.4667,102.5333,19.16,97,100,0.22,ID,1674157187
174,bubaque,11.2833,-15.8333,25.95,68,23,5.84,GW,1674157187
175,henderson,36.0397,-114.9819,11.29,41,0,7.2,US,1674156890
176,asau,46.4333,26.4,9.6,72,95,2.24,RO,1674157187
177,chardara,41.2547,67.9692,-7.84,85,100,1.39,KZ,1674157188
178,terme,41.2092,36.9739,6.96,60,41,1.57,TR,1674157188
179,biak,-0.9131,122.8766,24.49,81,91,1.55,ID,1674157188
180,ducos,14.5753,-60.9745,26.64,65,75,8.23,MQ,1674157189
181,provideniya,64.3833,-173.3,-30.41,93,16,2.4,RU,1674157189
182,shuyskoye,59.3736,41.0305,0.54,96,100,5.03,RU,1674157189
183,kamenka,51.3223,42.7678,-4.02,77,98,7.07,RU,1674157189
184,launceston,-41.45,147.1667,11.45,77,19,3.09,AU,1674157190
185,saint george,37.1041,-113.5841,5.24,57,75,0.89,US,1674157125
186,southampton,50.904,-1.4043,1.88,88,0,0.0,GB,1674157190
187,goundam,16.4145,-3.6708,24.24,12,0,3.71,ML,1674157191
188,todos santos,23.45,-110.2167,22.25,77,100,3.64,MX,1674157191
189,tabory,58.5198,64.5495,-10.25,86,35,3.2,RU,1674157191
190,esso,55.9333,158.7,-27.76,97,74,2.29,RU,1674157192
191,neiafu,-18.65,-173.9833,28.38,83,40,4.12,TO,1674157192
192,baza,37.4907,-2.7726,5.32,65,79,8.17,ES,1674157192
193,tiksi,71.6872,128.8694,-33.66,100,81,1.34,RU,1674157193
194,ust-ilimsk,58.0006,102.6619,-38.94,99,91,1.21,RU,1674157193
195,airai,-8.9266,125.4092,15.46,94,96,0.85,TL,1674156949
196,abu samrah,35.3029,37.1841,10.67,72,0,3.01,SY,1674157193
197,ballina,-28.8667,153.5667,20.56,99,100,3.8,AU,1674157193
198,kabare,-2.4683,28.8242,16.19,92,95,0.31,CD,1674157194
199,souillac,-20.5167,57.5167,25.21,94,75,3.09,MU,1674156953
200,onega,63.9061,38.1404,1.56,83,100,8.72,RU,1674157194
201,drumheller,51.4617,-112.7101,0.59,93,35,0.51,CA,1674156901
202,la brea,15.8,-85.9667,29.73,66,20,1.03,HN,1674157195
203,half moon bay,37.4636,-122.4286,12.15,74,0,5.66,US,1674157195
204,tsumeb,-19.2333,17.7167,21.27,77,91,2.26,NA,1674157195
205,zhoucheng,35.9122,116.3117,-3.29,30,0,2.78,CN,1674157195
206,tautira,-17.7333,-149.15,26.82,76,6,7.2,PF,1674157196
207,esperance,-33.8667,121.9,14.76,84,0,5.09,AU,1674157196
208,bocas del toro,9.3333,-82.25,26.72,70,94,2.89,PA,1674157196
209,kayseri,38.737,35.4968,1.01,75,0,1.54,TR,1674157197
210,caravelas,-17.7125,-39.2481,26.82,72,96,3.49,BR,1674157135
211,talas,38.6908,35.5538,0.37,75,0,1.54,TR,1674157197
212,fort-shevchenko,44.5086,50.263,0.07,65,0,4.84,KZ,1674157197
213,khandyga,62.6667,135.6,-53.5,100,76,0.64,RU,1674157198
214,pangnirtung,66.1451,-65.7125,-29.0,69,40,2.06,CA,1674157198
215,guiberoua,6.2392,-6.1727,26.76,38,6,0.6,CI,1674157198
216,beyneu,45.3167,55.2,-4.66,56,0,3.82,KZ,1674157199
217,huarmey,-10.0681,-78.1522,23.78,69,69,4.42,PE,1674157199
218,tatawin,32.9297,10.4518,9.04,34,0,8.09,TN,1674157199
219,lata,40.1629,-8.3327,12.82,94,100,5.07,PT,1674157200
220,chiredzi,-21.05,31.6667,24.52,62,54,1.82,ZW,1674157200
221,hasaki,35.7333,140.8333,5.68,90,100,6.19,JP,1674157200
222,hithadhoo,-0.6,73.0833,27.01,79,93,5.61,MV,1674156953
223,ternate,0.8,127.4,26.39,82,100,2.77,ID,1674157201
224,port elizabeth,-33.918,25.5701,23.39,90,75,6.17,ZA,1674157142
225,arraial do cabo,-22.9661,-42.0278,28.98,74,20,10.29,BR,1674157201
226,atuona,-9.8,-139.0333,26.0,77,21,8.52,PF,1674157201
227,mount isa,-20.7333,139.5,26.87,57,100,1.54,AU,1674157202
228,vardo,70.3705,31.1107,-1.01,80,75,4.12,NO,1674157202
229,faanui,-16.4833,-151.75,27.3,73,8,8.31,PF,1674157202
230,ostrovnoy,68.0531,39.5131,1.32,89,74,10.91,RU,1674157203
231,lasa,46.6166,10.7002,-2.51,93,97,0.88,IT,1674157203
232,helong,42.5397,128.9972,-8.99,90,100,2.34,CN,1674157203
233,merauke,-8.4667,140.3333,26.21,83,100,7.7,ID,1674157203
234,atar,20.5169,-13.0499,20.52,35,0,4.11,MR,1674157204
235,tafresh,34.692,50.013,-1.11,61,0,0.47,IR,1674157204
236,beringovskiy,63.05,179.3167,-28.64,93,100,4.06,RU,1674157204
237,sibolga,1.7427,98.7792,23.12,91,100,1.52,ID,1674157205
238,charleston,32.7766,-79.9309,24.09,69,75,9.77,US,1674156948
239,constitucion,-35.3333,-72.4167,18.3,70,61,3.76,CL,1674157205
240,moroni,-11.7022,43.2551,26.4,79,100,2.98,KM,1674157205
241,gari,59.4307,62.3497,-11.89,89,67,3.0,RU,1674157206
242,byron bay,-28.65,153.6167,20.52,94,100,2.61,AU,1674157150
243,jacareacanga,-6.2222,-57.7528,22.49,95,100,1.31,BR,1674157206
244,visnagar,23.7,72.55,14.8,33,40,2.06,IN,1674157207
245,novoutkinsk,56.993,59.5571,-16.0,90,6,1.56,RU,1674157207
246,barra do bugres,-15.0725,-57.1811,30.58,54,64,0.33,BR,1674157207
247,guerrero negro,27.9769,-114.0611,17.78,40,0,3.94,MX,1674157136
248,bairnsdale,-37.8333,147.6167,9.47,94,2,1.17,AU,1674157208
249,kushima,31.4583,131.2333,5.54,81,6,3.28,JP,1674157098
250,ardakan,32.31,54.0175,0.87,75,1,1.62,IR,1674157208
251,hay river,60.8156,-115.7999,-5.01,74,20,5.14,CA,1674157208
252,tiznit,29.5833,-9.5,14.08,47,0,1.23,MA,1674157209
253,manokwari,-0.8667,134.0833,25.31,80,100,2.64,ID,1674157137
254,karratha,-20.7377,116.8463,27.44,73,100,1.6,AU,1674157209
255,chuy,-33.6971,-53.4616,25.82,55,88,6.23,UY,1674157209
256,tasiilaq,65.6145,-37.6368,-12.91,96,100,0.65,GL,1674157210
257,kulhudhuffushi,6.6221,73.07,26.29,71,4,5.42,MV,1674157210
258,saint-pierre,-21.3393,55.4781,24.82,94,100,6.17,RE,1674157210
259,abnub,27.2696,31.1511,15.12,27,0,2.68,EG,1674157210
260,maceio,-9.6658,-35.7353,28.69,74,75,6.69,BR,1674157211
261,paamiut,61.994,-49.6678,-7.68,75,100,10.01,GL,1674157211
262,tanggu,39.0211,117.6469,-5.02,27,0,6.9,CN,1674157211
263,temyasovo,52.9933,58.1014,-12.34,55,3,0.64,RU,1674157213
264,pine bluff,34.2284,-92.0032,12.96,47,0,5.66,US,1674157214
265,coahuayana,18.7333,-103.6833,28.61,52,45,3.53,MX,1674157215
266,manono,-7.3,27.4167,20.59,91,93,1.3,CD,1674157118
267,wewak,-3.5534,143.6268,25.09,87,100,2.06,PG,1674157216
268,santiago,-33.4569,-70.6483,29.19,42,0,6.69,CL,1674156837
269,pevek,69.7008,170.3133,-28.55,94,100,7.35,RU,1674157217
270,valdosta,30.8327,-83.2785,24.96,76,75,5.66,US,1674157218
271,alenquer,-1.9417,-54.7383,28.77,60,29,2.66,BR,1674157171
272,tura,25.5198,90.2201,11.64,65,0,1.49,IN,1674157219
273,tower,51.9167,-8.6,2.47,93,20,3.09,IE,1674157219
274,lagoa,39.05,-27.9833,13.94,74,45,5.44,PT,1674157219
275,benghazi,32.1167,20.0667,16.5,44,0,7.16,LY,1674157220
276,banjar,-8.19,114.9675,24.77,90,100,2.17,ID,1674157220
277,waddan,29.1614,16.139,14.63,28,0,9.14,LY,1674157220
278,vestmanna,62.1564,-7.1664,-0.49,74,100,7.72,FO,1674157221
279,kudahuvadhoo,2.6708,72.8944,27.43,71,19,7.07,MV,1674157221
280,luis correia,-2.8792,-41.6669,26.69,81,51,2.49,BR,1674157221
281,zhezkazgan,47.8043,67.7144,-16.76,67,62,3.62,KZ,1674157222
282,jamame,0.0722,42.7506,24.55,80,72,5.84,SO,1674157222
283,ios,36.7333,25.2833,16.95,57,7,6.26,GR,1674157222
284,batagay,67.6333,134.6333,-48.8,99,83,0.42,RU,1674157223
